Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,HD scenario body,HD scenario body #2 (negation scenarios only),HD comprehension question,HD correct response,HD incorrect response,HD photo link,Letters Missing
Mental Health,Work/Career Development,,Looking at your Resume,"You are in a new town and need to start applying for jobs. You start looking at the qualifications for jobs and even though you've worked hard to put together you're resume, you wonder if it will be enough. You look back on your accomplishments and know that you've done more than enough.",N/A,Are you qualified for these new jobs?,Yes,No,./images/Looking_at_your_Resume.jpeg,2
Mental Health,Social Situations,,Joining a New Club,"You are trying to meet new people and you decide to join a book club. The book for the week is really interesting, but when you show up at the meeting people are asking questions about the book that seem more in depth than you can answer. You remember that you read the book too and have valuable thoughts just like everyone else.",N/A,Can you be involved in the book club discussion?,Yes,No,./images/Joining_a_New_Club.jpeg,2
Mental Health,Work/Career Development,,Presenting your Work,"You've been working hard all year on a project and your your department head has invited you to talk about it at an event. A lot of your friends and coworkers will be there, and you don't think your work will be enough to impress them. You think that your department head invited you for a reason and your work is worth seeing.",N/A,Will your work impress the people at the event?,Yes,No,./images/Presenting_your_Work.jpeg,2
Mental Health,Work/Career Development,,Coming up with Questions,"You are in a talk on a challenging topic you're really excited about. You have a lot of thoughts on the subject but you feel like the questions everyone else are asking are smarter than yours. You think about how all of them probably get nervous about talking too, and know they aren't there to judge.",N/A,Are everyone else's questions better than yours?,No,Yes,./images/Coming_up_with_Questions.jpeg,2
Mental Health,Family & Home Life,,Talking about Housing,"You are hanging out with a new group of people and they are all talking about their housing situations. You want to chime in, but you are still looking for a place to settle down and you feel like you're falling behind on life experiences. You think that you still have plenty of time.",N/A,Will you figure out housing?,Yes,No,./images/Talking_about_Housing.jpeg,2
Mental Health,Work/Career Development,,Teaching Others,"You have been selected to lead a training class for new employees. The leader before you was extremely well liked, and you worry you won't be able to live up to others' expectation of the course. You remember that you know the material well, and when you think about leading the course, you are hopeful.",N/A,Will you lead the course well?,Yes,No,./images/Teaching_Others.jpeg,2
Mental Health,,,Getting Help,"In the past couple months, you've been feeling very down, and you haven't been enjoying your usual activities. You wonder if you are depressed and if you should get help. You think that getting help would make you feel better.  ",N/A,Do you want to get help?,Yes,No,./images/Getting_Help.jpeg,2
Mental Health,,,Haircut Headache ,"Today you're taking staff pictures and you got a new haircut for it. It didn't turn out the way you wanted it to. When you think about others seeing your new haircut in the pictures, you feel embarrassed",,Are others going to judge you when they see your haircut in the picture?,Yes,No,./images/Haircut_Headache.jpeg,2
Mental Health,Physical Health,,Monday Morning,"It's Monday morning and you are running late for a meeting. You feel your heart racing as you open the car door and sit down. Fearing that you might have a panic attack, you have a strong urge to get out of the car, and yet you decide to observe these sensations without reacting and stay seated.",N/A,Is it necessary to get out of the car because you feel your heart beating rapidly?,No,Yes,./images/Monday_Morning.jpeg,2
Mental Health,,,Late night sensation,"In the middle of the night, you wake up abruptly and feel weird as you sit up. It's as if your mind isn't working correctly, and you start to think you might be losing control. This thought frightens you, and you decide to lie back down and just observe it.",N/A,Do you need to fight your strange feelings in order to make your anxiety go away?,No,Yes,./images/Late_night_sensation.jpeg,2
Mental Health,Work/Career Development,,Answering Unexpected Questions,"You are presenting your work to a group of your peers. After you present, someone asks you a very specific question that you do not know the answer to and you feel like you are unqualified. You remember that you did a lot of research, and this question may just not be relevant.",N/A,Are you qualified to be giving your presentation?,Yes,No,./images/Answering_Unexpected_Questions.jpeg,all
