Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,PD scenario body,PD scenario body #2 (negation scenarios only),PD comprehension question,PD correct response,PD incorrect response,PD photo link,Letters Missing
Finances,Family & Home Life,Romantic Relationships,Partner's Spending,"You and your partner recently opened a joint bank account. While going through the bank statements, you are shocked to see that your partner has been spending recklessly. As you consider bringing up your concerns to your partner, you think they will be understanding. ",N/A,Will your partner be mad that you brought this up?,No,Yes,https://drive.google.com/file/d/1EIGEmJfSxfuKgfCbOPT5CmXQUrI4X4aC/view?usp=sharing,1
Finances,Family & Home Life,,Paying for College,You want your family to have good educational opportunities. You want your grandkids to be able to attend good colleges but understand that this comes with a high price tag. You wonder if you should pitch in and help with their college tuition.,"When you think about your grandchildren, you don't think they will miss educational opportunities because of money. You think supporting their college education will be affordable.",Do you think you will have enough money to help pay for your grandchildren's college expenses?,Yes,No,https://drive.google.com/open?id=13AQPSoTcJ7l6-UEALSYBWllAd4NVeyBP&usp=drive_copy,1
Finances,,,Worrying About Savings,"You hung out with some friends you haven't seen in a while, and you ended up on the topic of finances. While you thought your financial situation was stable, your friends start talking about the money they're putting away in savings for retirement. You've been using your money to pay for necessities, and haven't thought about starting to save.","When you think about it, you know that you have lots of time to save still, and finances don't look the same for everyone. ",Are you concerned about not saving right now?,No,Yes,https://drive.google.com/file/d/1kYP_IMC9Y00yWCg_vj3iT3BuTssF0wig/view?usp=drive_link,1
Finances,,,Saving up Money,"You are going over your monthly expenses, and realize you spent more than you had planned on a new hobby. It doesn't put you in a financial bind now, but you are trying to save up money to go on a ski trip you have been planning for months. As you think about cutting back on your expenses, you think that saving enough for your trip is hopeless.",,"When it is time to book the upcoming trip, you will probably",Have to cancel because of money issues.,Be able to choose a pretty nice hotel.,https://drive.google.com/file/d/1HZH-0nM2AWwMrt0gJttn0l5Qxiyelr24/view?usp=sharing,1
Finances,Family & Home Life,,Gift Giving,"Your children's birthdays are approaching, and you want to show them how much you appreciate them through gifts. However, you're worried about if you'll be able to afford the gifts you think they deserve. When you think about their birthdays, you think that they will be happy with something small.",N/A,Do your children need a big gift to feel appreciated? ,No,Yes,https://drive.google.com/file/d/1jWzJuwkqvTss1X1vO90z40f-28aw_x4n/view?usp=sharing,2
Finances,Mental Health,,Session Costs,"You recently had to pay a large sum of money toward repairs for your car. This unexpected expense cut into the money you use to pay your therapy copays, and you are concerned about what will happen if you miss sessions to save money. You call the therapy office, and they help you come up with a solution. ",N/A,Do finances get in the way of therapy?,No,Yes,https://drive.google.com/file/d/1yu9h9aas60Qlgw4LN5PXrYPCRmTlEye4/view?usp=sharing,2
Finances,Mental Health,,Food Costs,"Recently, you've just wanted to spend time alone and don't have much motivation to get out of bed. You ordered delivery a few nights in a row, and spent much more money on takeout than you normally do. You realize that there are some easy meals you can handle making next week and start planning. ",N/A,Are you going to spend all of your money on delivery? ,No,Yes,https://drive.google.com/file/d/1EiUCRYYf5uaji37PRSH_mjjnF5O5RPgn/view?usp=sharing,2
Finances,,,Making a Plan,"You're reviewing your monthly budget and notice that your expenses have been slightly higher than usual. As you prepare to pay the bills, you start to worry if you'll have enough left for your planned vacation next month. Considering things, you think you'll be able to cut down on some expenses leading up to and following your vacation, and you feel relieved. ",N/A,Will you be able to go on vacation?,Yes,No,https://drive.google.com/file/d/10FlqcsDlR2eRV8T1RQn48jY5XFXXFTwJ/view?usp=sharing,2
Finances,Mental Health,,Vacation Costs,"You have been feeling really overwhelmed and drained recently and want to go on a trip to take a break. When you look into flights, you realize that the cost of a trip may be totally out of your budget. You remind yourself you can go for a short trip somewhere nearby and still have fun. ",,Can you still take time for yourself on a budget?,Yes,No,https://drive.google.com/file/d/1ITdnDbj3DvjZZDphPp_I5FrO9KSr9X3j/view?usp=sharing,2
Finances,Family & Home Life,,Affording a Trip ,"Your grandchild really wants to go to a theme park for vacation this year. You've been researching the cost of the trip, and you don't think you can afford it. You think that you can find an alternative trip that your grandchild will still enjoy. ",N/A,Can you make it to a theme park this year?,No,Yes,https://drive.google.com/file/d/1d3Da2RuOvJcgaHMLUgJvfG7yV7YmHOfQ/view?usp=sharing,2
Finances,,,Affording Expenses,"Your rent is coming up. Normally you have your rent budgeted out, but some unexpected costs have left you a little short and you need to take on some extra shifts at work. ","Thinking about your ability to make the payment, you don't expect to be late on your rent, and your funds will be enough.",Do you think you will save enough to make your rent payment?,Yes,No,https://drive.google.com/file/d/1HZH-0nM2AWwMrt0gJttn0l5Qxiyelr24/view?usp=sharing,2
Finances,,,Planning Payments,"You have just started a new job, and need to select one of the retirement plans that your company offers. You have been doing some research into the different types of plans, but you feel a little overwhelmed and your deadline to choose is fast approaching. ","You do not see yourself making a big mistake, and think that the plan you choose will leave you in a financial position that is solid.",Do you think that you will choose a plan that is too risky?,No,Yes,https://drive.google.com/file/d/1KkME5KcZ5NgX_p332K2_-01OCdDxK5G3/view?usp=sharing,2
Finances,,,Affording Expenses,"Your rent is coming up. Normally you have your rent budgeted out, but some unexpected costs have left you a little short and you need to take on some extra shifts at work.  Thinking about your ability to make the payment, your funds will be insufficient.",,"In the coming month, you see yourself",Falling behind on your rent.,Paying your rent bill fully.,https://drive.google.com/file/d/1HZH-0nM2AWwMrt0gJttn0l5Qxiyelr24/view?usp=sharing,2
Finances,Social Situations,,Worrying About Spending,"A group of your friends are going out to dinner and they invited you. You know that you guys have been going out to dinner a lot recently, and you don't know if you can keep up with this lifestyle. You tell your friends that you'll catch up with them next time, and you're happy staying at home for the night.",N/A,Are you comfortable passing up on this dinner?,Yes,No,https://drive.google.com/file/d/1eLJnrJZBFA0pUisiuLxNVgNJfC_xJB7I/view?usp=sharing,2
Mental Health,,,Haircut Headache ,"Today you're taking staff pictures and you got a new haircut for it. It didn't turn out the way you wanted it to. When you think about others seeing your new haircut in the pictures, you feel embarrassed",,Are others going to judge you when they see your haircut in the picture?,Yes,No,https://drive.google.com/file/d/1hJ5jSFgD9p0YWah_M35D5-XX1eWGMlRm/view?usp=sharing,1
Mental Health,,,Vacation Plans,"You are backpacking abroad with your best friend. You have a general idea of what you will do each day, but you didn't plan out every detail ahead of time. This uncertainty causes some anxiety that is tolerable.",N/A,Is the spontaneity of your trip going to be tolerable?,Yes,No,https://drive.google.com/file/d/1dc90w81b-5l6lJiogXhCAoRIezU3dhLq/view?usp=drive_link,1
Mental Health,Family & Home Life,,Leaving the House,"One morning you leave your house and begin to make your way to work. About 10 minutes into the commute, you wonder whether you remembered to lock the door to your home. As you continue your commute, you trust yourself and you feel relaxed.",N/A,"For the rest of your morning commute, you feel ...",At ease as you get to work.,Worried that you left the door to your home unlocked.,https://drive.google.com/file/d/1L06ap5ra_s6MnwpMX2bIkWHmxWYaUpYT/view?usp=sharing,1
